MPG,Cylinders,Displacement,Horsepower,Acceleration,Model Year,Origin,Weight Category
18.0,8,307.0,130.0,12.0,70,1,3
15.0,8,350.0,165.0,11.5,70,1,3
18.0,8,318.0,150.0,11.0,70,1,3
16.0,8,304.0,150.0,12.0,70,1,3
17.0,8,302.0,140.0,10.5,70,1,3
15.0,8,429.0,198.0,10.0,70,1,4
14.0,8,454.0,220.0,9.0,70,1,4
14.0,8,440.0,215.0,8.5,70,1,4
14.0,8,455.0,225.0,10.0,70,1,4
15.0,8,390.0,190.0,8.5,70,1,3
15.0,8,383.0,170.0,10.0,70,1,3
14.0,8,340.0,160.0,8.0,70,1,3
15.0,8,400.0,150.0,9.5,70,1,3
14.0,8,455.0,225.0,10.0,70,1,3
24.0,4,113.0,95.0,15.0,70,3,2
22.0,6,198.0,95.0,15.5,70,1,2
18.0,6,199.0,97.0,15.5,70,1,2
21.0,6,200.0,85.0,16.0,70,1,2
27.0,4,97.0,88.0,14.5,70,3,2
26.0,4,97.0,46.0,20.5,70,2,1
25.0,4,110.0,87.0,17.5,70,2,2
24.0,4,107.0,90.0,14.5,70,2,2
25.0,4,104.0,95.0,17.5,70,2,2
26.0,4,121.0,113.0,12.5,70,2,2
21.0,6,199.0,90.0,15.0,70,1,2
10.0,8,360.0,215.0,14.0,70,1,4
10.0,8,307.0,200.0,15.0,70,1,4
11.0,8,318.0,210.0,13.5,70,1,4
9.0,8,304.0,193.0,18.5,70,1,4
27.0,4,97.0,88.0,14.5,71,3,2
28.0,4,140.0,90.0,15.5,71,1,2
25.0,4,113.0,95.0,14.0,71,3,2
25.0,4,98.0,,19.0,71,1,2
19.0,6,232.0,100.0,13.0,71,1,2
16.0,6,225.0,105.0,15.5,71,1,3
17.0,6,250.0,100.0,15.5,71,1,3
19.0,6,250.0,88.0,15.5,71,1,3
18.0,6,232.0,100.0,15.5,71,1,3
14.0,8,350.0,165.0,12.0,71,1,4
14.0,8,400.0,175.0,11.5,71,1,4
14.0,8,351.0,153.0,13.5,71,1,4
14.0,8,318.0,150.0,13.0,71,1,4
12.0,8,383.0,180.0,11.5,71,1,4
13.0,8,400.0,170.0,12.0,71,1,4
13.0,8,400.0,175.0,12.0,71,1,4
18.0,6,258.0,110.0,13.5,71,1,2
22.0,4,140.0,72.0,19.0,71,1,2
19.0,6,250.0,100.0,15.0,71,1,3
18.0,6,250.0,88.0,14.5,71,1,3
23.0,4,122.0,86.0,14.0,71,1,2
28.0,4,116.0,90.0,14.0,71,2,2
30.0,4,79.0,70.0,19.5,71,2,2
30.0,4,88.0,76.0,14.5,71,2,2
31.0,4,71.0,65.0,19.0,71,3,1
35.0,4,72.0,69.0,18.0,71,3,1
27.0,4,97.0,60.0,19.0,71,2,1
26.0,4,91.0,70.0,20.5,71,1,1
24.0,4,113.0,95.0,15.5,72,3,2
25.0,4,97.5,80.0,17.0,72,1,2
23.0,4,97.0,54.0,23.5,72,2,2
20.0,4,140.0,90.0,19.5,72,1,2
21.0,4,122.0,86.0,16.5,72,1,2
13.0,8,350.0,165.0,12.0,72,1,4
14.0,8,400.0,175.0,12.0,72,1,4
15.0,8,318.0,150.0,13.5,72,1,4
14.0,8,351.0,153.0,13.0,72,1,4
17.0,8,304.0,150.0,11.5,72,1,3
11.0,8,429.0,208.0,11.0,72,1,4
13.0,8,350.0,155.0,13.5,72,1,4
12.0,8,350.0,160.0,13.5,72,1,4
13.0,8,400.0,190.0,12.5,72,1,4
19.0,3,70.0,97.0,13.5,72,3,2
15.0,8,304.0,150.0,12.5,72,1,3
13.0,8,307.0,130.0,14.0,72,1,4
13.0,8,302.0,140.0,16.0,72,1,4
14.0,8,318.0,150.0,14.0,72,1,4
18.0,4,121.0,112.0,14.5,72,2,2
22.0,4,121.0,76.0,18.0,72,2,2
21.0,4,120.0,87.0,19.5,72,2,2
26.0,4,96.0,69.0,18.0,72,2,2
22.0,4,122.0,86.0,16.0,72,1,2
28.0,4,97.0,92.0,17.0,72,3,2
23.0,4,120.0,97.0,14.5,72,3,2
28.0,4,98.0,80.0,15.0,72,1,2
27.0,4,97.0,88.0,16.5,72,3,2
13.0,8,350.0,175.0,13.0,73,1,4
14.0,8,304.0,150.0,11.5,73,1,3
13.0,8,350.0,145.0,13.0,73,1,3
14.0,8,302.0,137.0,14.5,73,1,4
15.0,8,318.0,150.0,12.5,73,1,3
12.0,8,429.0,198.0,11.5,73,1,4
13.0,8,400.0,150.0,12.0,73,1,4
13.0,8,351.0,158.0,13.0,73,1,4
14.0,8,318.0,150.0,14.5,73,1,4
13.0,8,440.0,215.0,11.0,73,1,4
12.0,8,455.0,225.0,11.0,73,1,4
13.0,8,360.0,175.0,11.0,73,1,3
18.0,6,225.0,105.0,16.5,73,1,3
16.0,6,250.0,100.0,18.0,73,1,3
18.0,6,232.0,100.0,16.0,73,1,2
18.0,6,250.0,88.0,16.5,73,1,3
23.0,6,198.0,95.0,16.0,73,1,2
26.0,4,97.0,46.0,21.0,73,2,1
11.0,8,400.0,150.0,14.0,73,1,4
12.0,8,400.0,167.0,12.5,73,1,4
13.0,8,360.0,170.0,13.0,73,1,4
12.0,8,350.0,180.0,12.5,73,1,4
18.0,6,232.0,100.0,15.0,73,1,2
20.0,4,97.0,88.0,19.0,73,3,2
21.0,4,140.0,72.0,19.5,73,1,2
22.0,4,108.0,94.0,16.5,73,3,2
18.0,3,70.0,90.0,13.5,73,3,2
19.0,4,122.0,85.0,18.5,73,1,2
21.0,6,155.0,107.0,14.0,73,1,2
26.0,4,98.0,90.0,15.5,73,2,2
15.0,8,350.0,145.0,13.0,73,1,4
16.0,8,400.0,230.0,9.5,73,1,4
29.0,4,68.0,49.0,19.5,73,2,1
24.0,4,116.0,75.0,15.5,73,2,2
20.0,4,114.0,91.0,14.0,73,2,2
19.0,4,121.0,112.0,15.5,73,2,2
15.0,8,318.0,150.0,11.0,73,1,3
24.0,4,121.0,110.0,14.0,73,2,2
20.0,6,156.0,122.0,13.5,73,3,2
11.0,8,350.0,180.0,11.0,73,1,3
20.0,6,198.0,95.0,16.5,74,1,3
21.0,6,200.0,,17.0,74,1,2
19.0,6,232.0,100.0,16.0,74,1,2
15.0,6,250.0,100.0,17.0,74,1,3
31.0,4,79.0,67.0,19.0,74,3,1
26.0,4,122.0,80.0,16.5,74,1,2
32.0,4,71.0,65.0,21.0,74,3,1
25.0,4,140.0,75.0,17.0,74,1,2
16.0,6,250.0,100.0,17.0,74,1,3
16.0,6,258.0,110.0,18.0,74,1,3
18.0,6,225.0,105.0,16.5,74,1,3
16.0,8,302.0,140.0,14.0,74,1,4
13.0,8,350.0,150.0,14.5,74,1,4
14.0,8,318.0,150.0,13.5,74,1,4
14.0,8,302.0,140.0,16.0,74,1,4
14.0,8,304.0,150.0,15.5,74,1,4
29.0,4,98.0,83.0,16.5,74,2,2
26.0,4,79.0,67.0,15.5,74,2,1
26.0,4,97.0,78.0,14.5,74,2,2
31.0,4,76.0,52.0,16.5,74,3,1
32.0,4,83.0,61.0,19.0,74,3,2
28.0,4,90.0,75.0,14.5,74,1,2
24.0,4,90.0,75.0,15.5,74,2,2
26.0,4,116.0,75.0,14.0,74,2,2
24.0,4,120.0,97.0,15.0,74,3,2
26.0,4,108.0,93.0,15.5,74,3,2
31.0,4,79.0,67.0,16.0,74,2,2
19.0,6,225.0,95.0,16.0,75,1,3
18.0,6,250.0,105.0,16.0,75,1,3
15.0,6,250.0,72.0,21.0,75,1,3
15.0,6,250.0,72.0,19.5,75,1,3
16.0,8,400.0,170.0,11.5,75,1,4
15.0,8,350.0,145.0,14.0,75,1,4
16.0,8,318.0,150.0,14.5,75,1,4
14.0,8,351.0,148.0,13.5,75,1,4
17.0,6,231.0,110.0,21.0,75,1,3
16.0,6,250.0,105.0,18.5,75,1,3
15.0,6,258.0,110.0,19.0,75,1,3
18.0,6,225.0,95.0,19.0,75,1,3
21.0,6,231.0,110.0,15.0,75,1,3
20.0,8,262.0,110.0,13.5,75,1,3
13.0,8,302.0,129.0,12.0,75,1,3
29.0,4,97.0,75.0,16.0,75,3,2
23.0,4,140.0,83.0,17.0,75,1,2
20.0,6,232.0,100.0,16.0,75,1,2
23.0,4,140.0,78.0,18.5,75,1,2
24.0,4,134.0,96.0,13.5,75,3,2
25.0,4,90.0,71.0,16.5,75,2,2
24.0,4,119.0,97.0,17.0,75,3,2
18.0,6,171.0,97.0,14.5,75,1,2
29.0,4,90.0,70.0,14.0,75,2,1
19.0,6,232.0,90.0,17.0,75,1,3
23.0,4,115.0,95.0,15.0,75,2,2
23.0,4,120.0,88.0,17.0,75,2,2
22.0,4,121.0,98.0,14.5,75,2,2
25.0,4,121.0,115.0,13.5,75,2,2
33.0,4,91.0,53.0,17.5,75,3,1
28.0,4,107.0,86.0,15.5,76,2,2
25.0,4,116.0,81.0,16.9,76,2,2
25.0,4,140.0,92.0,14.9,76,1,2
26.0,4,98.0,79.0,17.7,76,1,2
27.0,4,101.0,83.0,15.3,76,2,2
17.5,8,305.0,140.0,13.0,76,1,4
16.0,8,318.0,150.0,13.0,76,1,4
15.5,8,304.0,120.0,13.9,76,1,3
14.5,8,351.0,152.0,12.8,76,1,4
22.0,6,225.0,100.0,15.4,76,1,3
22.0,6,250.0,105.0,14.5,76,1,3
24.0,6,200.0,81.0,17.6,76,1,3
22.5,6,232.0,90.0,17.6,76,1,3
29.0,4,85.0,52.0,22.2,76,1,2
24.5,4,98.0,60.0,22.1,76,1,2
29.0,4,90.0,70.0,14.2,76,2,1
33.0,4,91.0,53.0,17.4,76,3,1
20.0,6,225.0,100.0,17.7,76,1,3
18.0,6,250.0,78.0,21.0,76,1,3
18.5,6,250.0,110.0,16.2,76,1,3
17.5,6,258.0,95.0,17.8,76,1,3
29.5,4,97.0,71.0,12.2,76,2,1
32.0,4,85.0,70.0,17.0,76,3,1
28.0,4,97.0,75.0,16.4,76,3,2
26.5,4,140.0,72.0,13.6,76,1,2
20.0,4,130.0,102.0,15.7,76,2,3
13.0,8,318.0,150.0,13.2,76,1,3
19.0,4,120.0,88.0,21.9,76,2,3
19.0,6,156.0,108.0,15.5,76,3,2
16.5,6,168.0,120.0,16.7,76,2,3
16.5,8,350.0,180.0,12.1,76,1,4
13.0,8,350.0,145.0,12.0,76,1,4
13.0,8,302.0,130.0,15.0,76,1,3
13.0,8,318.0,150.0,14.0,76,1,3
31.5,4,98.0,68.0,18.5,77,3,2
30.0,4,111.0,80.0,14.8,77,1,2
36.0,4,79.0,58.0,18.6,77,2,1
25.5,4,122.0,96.0,15.5,77,1,2
33.5,4,85.0,70.0,16.8,77,3,1
17.5,8,305.0,145.0,12.5,77,1,3
17.0,8,260.0,110.0,19.0,77,1,4
15.5,8,318.0,145.0,13.7,77,1,4
15.0,8,302.0,130.0,14.9,77,1,4
17.5,6,250.0,110.0,16.4,77,1,3
20.5,6,231.0,105.0,16.9,77,1,3
19.0,6,225.0,100.0,17.7,77,1,3
18.5,6,250.0,98.0,19.0,77,1,3
16.0,8,400.0,180.0,11.1,77,1,4
15.5,8,350.0,170.0,11.4,77,1,4
15.5,8,400.0,190.0,12.2,77,1,4
16.0,8,351.0,149.0,14.5,77,1,4
29.0,4,97.0,78.0,14.5,77,2,1
24.5,4,151.0,88.0,16.0,77,1,2
26.0,4,97.0,75.0,18.2,77,3,2
25.5,4,140.0,89.0,15.8,77,1,2
30.5,4,98.0,63.0,17.0,77,1,2
33.5,4,98.0,83.0,15.9,77,1,2
30.0,4,97.0,67.0,16.4,77,3,1
30.5,4,97.0,78.0,14.1,77,2,2
22.0,6,146.0,97.0,14.5,77,3,2
21.5,4,121.0,110.0,12.8,77,2,2
21.5,3,80.0,110.0,13.5,77,3,2
43.1,4,90.0,48.0,21.5,78,2,1
36.1,4,98.0,66.0,14.4,78,1,1
32.8,4,78.0,52.0,19.4,78,3,1
39.4,4,85.0,70.0,18.6,78,3,2
36.1,4,91.0,60.0,16.4,78,3,1
19.9,8,260.0,110.0,15.5,78,1,3
19.4,8,318.0,140.0,13.2,78,1,3
20.2,8,302.0,139.0,12.8,78,1,3
19.2,6,231.0,105.0,19.2,78,1,3
20.5,6,200.0,95.0,18.2,78,1,3
20.2,6,200.0,85.0,15.8,78,1,2
25.1,4,140.0,88.0,15.4,78,1,2
20.5,6,225.0,100.0,17.2,78,1,3
19.4,6,232.0,90.0,17.2,78,1,3
20.6,6,231.0,105.0,15.8,78,1,3
20.8,6,200.0,85.0,16.7,78,1,3
18.6,6,225.0,110.0,18.7,78,1,3
18.1,6,258.0,120.0,15.1,78,1,3
19.2,8,305.0,145.0,13.2,78,1,3
17.7,6,231.0,165.0,13.4,78,1,3
18.1,8,302.0,139.0,11.2,78,1,3
17.5,8,318.0,140.0,13.7,78,1,4
30.0,4,98.0,68.0,16.5,78,1,2
27.5,4,134.0,95.0,14.2,78,3,2
27.2,4,119.0,97.0,14.7,78,3,2
30.9,4,105.0,75.0,14.5,78,1,2
21.1,4,134.0,95.0,14.8,78,3,2
23.2,4,156.0,105.0,16.7,78,1,2
23.8,4,151.0,85.0,17.6,78,1,2
23.9,4,119.0,97.0,14.9,78,3,2
20.3,5,131.0,103.0,15.9,78,2,2
17.0,6,163.0,125.0,13.6,78,2,3
21.6,4,121.0,115.0,15.7,78,2,2
16.2,6,163.0,133.0,15.8,78,2,3
31.5,4,89.0,71.0,14.9,78,2,1
29.5,4,98.0,68.0,16.6,78,3,2
21.5,6,231.0,115.0,15.4,79,1,3
19.8,6,200.0,85.0,18.2,79,1,2
22.3,4,140.0,88.0,17.3,79,1,2
20.2,6,232.0,90.0,18.2,79,1,3
20.6,6,225.0,110.0,16.6,79,1,3
17.0,8,305.0,130.0,15.4,79,1,3
17.6,8,302.0,129.0,13.4,79,1,3
16.5,8,351.0,138.0,13.2,79,1,3
18.2,8,318.0,135.0,15.2,79,1,3
16.9,8,350.0,155.0,14.9,79,1,4
15.5,8,351.0,142.0,14.3,79,1,4
19.2,8,267.0,125.0,15.0,79,1,3
18.5,8,360.0,150.0,13.0,79,1,3
31.9,4,89.0,71.0,14.0,79,2,1
34.1,4,86.0,65.0,15.2,79,3,1
35.7,4,98.0,80.0,14.4,79,1,1
27.4,4,121.0,80.0,15.0,79,1,2
25.4,5,183.0,77.0,20.1,79,2,3
23.0,8,350.0,125.0,17.4,79,1,3
27.2,4,141.0,71.0,24.8,79,2,3
23.9,8,260.0,90.0,22.2,79,1,3
34.2,4,105.0,70.0,13.2,79,1,2
34.5,4,105.0,70.0,14.9,79,1,2
31.8,4,85.0,65.0,19.2,79,3,2
37.3,4,91.0,69.0,14.7,79,2,2
28.4,4,151.0,90.0,16.0,79,1,2
28.8,6,173.0,115.0,11.3,79,1,2
26.8,6,173.0,115.0,12.9,79,1,2
33.5,4,151.0,90.0,13.2,79,1,2
41.5,4,98.0,76.0,14.7,80,2,2
38.1,4,89.0,60.0,18.8,80,3,1
32.1,4,98.0,70.0,15.5,80,1,2
37.2,4,86.0,65.0,16.4,80,3,2
28.0,4,151.0,90.0,16.5,80,1,2
26.4,4,140.0,88.0,18.1,80,1,2
24.3,4,151.0,90.0,20.1,80,1,3
19.1,6,225.0,90.0,18.7,80,1,3
34.3,4,97.0,78.0,15.8,80,2,2
29.8,4,134.0,90.0,15.5,80,3,2
31.3,4,120.0,75.0,17.5,80,3,2
37.0,4,119.0,92.0,15.0,80,3,2
32.2,4,108.0,75.0,15.2,80,3,2
46.6,4,86.0,65.0,17.9,80,3,2
27.9,4,156.0,105.0,14.4,80,1,2
40.8,4,85.0,65.0,19.2,80,3,2
44.3,4,90.0,48.0,21.7,80,2,2
43.4,4,90.0,48.0,23.7,80,2,2
36.4,5,121.0,67.0,19.9,80,2,2
30.0,4,146.0,67.0,21.8,80,2,3
44.6,4,91.0,67.0,13.8,80,3,1
40.9,4,85.0,,17.3,80,2,1
33.8,4,97.0,67.0,18.0,80,3,2
29.8,4,89.0,62.0,15.3,80,2,1
32.7,6,168.0,132.0,11.4,80,3,2
23.7,3,70.0,100.0,12.5,80,3,2
35.0,4,122.0,88.0,15.1,80,2,2
23.6,4,140.0,,14.3,80,1,2
32.4,4,107.0,72.0,17.0,80,3,2
27.2,4,135.0,84.0,15.7,81,1,2
26.6,4,151.0,84.0,16.4,81,1,2
25.8,4,156.0,92.0,14.4,81,1,2
23.5,6,173.0,110.0,12.6,81,1,2
30.0,4,135.0,84.0,12.9,81,1,2
39.1,4,79.0,58.0,16.9,81,3,1
39.0,4,86.0,64.0,16.4,81,1,1
35.1,4,81.0,60.0,16.1,81,3,1
32.3,4,97.0,67.0,17.8,81,3,2
37.0,4,85.0,65.0,19.4,81,3,1
37.7,4,89.0,62.0,17.3,81,3,2
34.1,4,91.0,68.0,16.0,81,3,1
34.7,4,105.0,63.0,14.9,81,1,2
34.4,4,98.0,65.0,16.2,81,1,2
29.9,4,98.0,65.0,20.7,81,1,2
33.0,4,105.0,74.0,14.2,81,2,2
34.5,4,100.0,,15.8,81,2,2
33.7,4,107.0,75.0,14.4,81,3,2
32.4,4,108.0,75.0,16.8,81,3,2
32.9,4,119.0,100.0,14.8,81,3,2
31.6,4,120.0,74.0,18.3,81,3,2
28.1,4,141.0,80.0,20.4,81,2,3
30.7,6,145.0,76.0,19.6,81,2,3
25.4,6,168.0,116.0,12.6,81,3,2
24.2,6,146.0,120.0,13.8,81,3,2
22.4,6,231.0,110.0,15.8,81,1,3
26.6,8,350.0,105.0,19.0,81,1,3
20.2,6,200.0,88.0,17.1,81,1,3
17.6,6,225.0,85.0,16.6,81,1,3
28.0,4,112.0,88.0,19.6,82,1,2
27.0,4,112.0,88.0,18.6,82,1,2
34.0,4,112.0,88.0,18.0,82,1,2
31.0,4,112.0,85.0,16.2,82,1,2
29.0,4,135.0,84.0,16.0,82,1,2
27.0,4,151.0,90.0,18.0,82,1,2
24.0,4,140.0,92.0,16.4,82,1,2
23.0,4,151.0,,20.5,82,1,3
36.0,4,105.0,74.0,15.3,82,2,1
37.0,4,91.0,68.0,18.2,82,3,2
31.0,4,91.0,68.0,17.6,82,3,1
38.0,4,105.0,63.0,14.7,82,1,2
36.0,4,98.0,70.0,17.3,82,1,2
36.0,4,120.0,88.0,14.5,82,3,2
36.0,4,107.0,75.0,14.5,82,3,2
34.0,4,108.0,70.0,16.9,82,3,2
38.0,4,91.0,67.0,15.0,82,3,1
32.0,4,91.0,67.0,15.7,82,3,1
38.0,4,91.0,67.0,16.2,82,3,1
25.0,6,181.0,110.0,16.4,82,1,2
38.0,6,262.0,85.0,17.0,82,1,3
26.0,4,156.0,92.0,14.5,82,1,2
22.0,6,232.0,112.0,14.7,82,1,2
32.0,4,144.0,96.0,13.9,82,3,2
36.0,4,135.0,84.0,13.0,82,1,2
27.0,4,151.0,90.0,17.3,82,1,2
27.0,4,140.0,86.0,15.6,82,1,2
44.0,4,97.0,52.0,24.6,82,2,2
32.0,4,135.0,84.0,11.6,82,1,2
28.0,4,120.0,79.0,18.6,82,1,2
31.0,4,119.0,82.0,19.4,82,1,2
